,Valence Evaluation,Equality,Formality and Regulation,Concreteness,Goods Exchange,Coercion,Activeness,Activity Intensity,Communal Sharing,Uniqueness,Service Exchange,Importance for society,Endurance,Trust,Socioemotional,Expected Reciprocity,Love Expression,Generation Gap,Importance for individuals,Synchronicity,Attachment,Intimacy,Strategic,Information Exchange,Mating,Affiliation Coalition,Male Evaluation,Spatial Distance,Visibility,Money Exchange,Conflict,Negotiation,Occupational,Morality,Female Evaluation
岳父岳母-女婿,"[53, 88, 49, 91, 45, 72, 87, 64, 84, 93]","[2, 0, 55, 10, 18, 24, 7, 25, 0, 5]","[5, 1, 52, 6, 58, 26, 80, 19, 2, 4]","[80, 47, 48, 19, 52, 14, 16, 18, 48, 5]","[21, 23, 53, 24, 83, 28, 18, 31, 20, 10]","[2, 12, 6, 9, 84, 25, 84, 24, 1, 2]","[77, 69, 75, 82, 53, 70, 84, 31, 96, 95]","[51, 65, 66, 75, 48, 58, 80, 26, 71, 66]","[51, 79, 53, 87, 27, 87, 12, 45, 66, 56]","[25, 59, 0, 71, 77, 100, 83, 77, 78, 88]","[47, 36, 3, 4, 10, 3, 11, 55, 35, 11]","[82, 44, 100, 22, 34, 5, 9, 13, 18, 75]","[65, 14, 99, 72, 82, 92, 89, 82, 96, 88]","[67, 59, 100, 73, 75, 86, 90, 74, 73, 79]","[71, 73, 100, 80, 69, 98, 93, 79, 81, 45]","[27, 15, 52, 40, 79, 8, 12, 56, 38, 83]","[69, 46, 50, 62, 60, 75, 89, 62, 71, 61]","[100, 71, 99, 47, 73, 92, 95, 81, 96, 90]","[58, 77, 92, 52, 83, 81, 50, 81, 72, 100]","[85, 22, 16, 27, 52, 59, 50, 52, 2, 3]","[69, 77, 91, 37, 80, 98, 68, 58, 42, 5]","[34, 24, 38, 64, 51, 65, 63, 69, 45, 10]","[61, 29, 2, 39, 25, 37, 31, 58, 76, 8]","[73, 55, 81, 61, 83, 93, 36, 70, 50, 65]","[31, 10, 1, 0, 50, 63, 61, 70, 17, 14]","[68, 77, 88, 66, 52, 100, 67, 77, 61, 18]","[48, 20, 42, 0, 0, 0, 6, 0, 5, 5]","[74, 87, 50, 67, 49, 49, 95, 85, 57, 79]","[98, 85, 100, 55, 98, 95, 37, 12, 100, 72]","[54, 65, 23, 19, 49, 66, 30, 8, 5, 63]","[52, 41, 53, 25, 15, 76, 6, 27, 16, 52]","[11, 83, 22, 70, 40, 51, 100, 74, 56, 74]","[6, 19, 0, 4, 0, 4, 0, 10, 6, 9]","[51, 84, 81, 69, 50, 50, 85, 86, 80, 77]","[50, 24, 0, 18, 50, 1, 0, 45, 3, 8]"
讼师(状师)-委托人,"[75, 74, 58, 54, 67, 79, 80, 45, 94, 93]","[95, 34, 50, 28, 98, 25, 25, 45, 26, 9]","[100, 100, 91, 89, 98, 81, 75, 82, 100, 100]","[100, 98, 96, 32, 93, 78, 65, 93, 23, 48]","[51, 93, 55, 89, 97, 78, 69, 61, 100, 65]","[2, 1, 26, 25, 8, 18, 65, 55, 10, 36]","[78, 67, 86, 50, 80, 24, 67, 60, 64, 93]","[52, 9, 59, 49, 2, 21, 66, 52, 8, 5]","[97, 0, 21, 2, 2, 18, 12, 21, 16, 7]","[20, 49, 100, 10, 44, 61, 70, 17, 7, 88]","[97, 89, 99, 23, 83, 88, 88, 82, 89, 92]","[86, 47, 100, 32, 72, 13, 28, 84, 94, 65]","[11, 35, 51, 17, 6, 15, 68, 20, 2, 12]","[69, 43, 100, 44, 76, 63, 48, 53, 3, 68]","[15, 18, 1, 2, 1, 0, 2, 22, 1, 7]","[82, 11, 52, 27, 72, 51, 81, 60, 94, 83]","[8, 8, 0, 5, 0, 0, 45, 13, 5, 9]","[52, 29, 51, 28, 24, 8, 49, 68, 2, 70]","[59, 30, 49, 52, 100, 2, 18, 74, 49, 3]","[78, 17, 12, 77, 100, 100, 78, 77, 55, 4]","[75, 26, 18, 0, 0, 7, 28, 22, 1, 49]","[23, 23, 19, 10, 0, 8, 17, 19, 3, 19]","[84, 70, 75, 100, 100, 97, 91, 89, 56, 23]","[81, 56, 69, 3, 100, 99, 41, 82, 94, 90]","[3, 12, 1, 0, 0, 0, 7, 0, 2, 5]","[94, 34, 55, 88, 100, 92, 67, 88, 95, 73]","[82, 75, 84, 97, 100, 30, 44, 17, 51, 4]","[79, 53, 100, 29, 49, 96, 87, 83, 89, 64]","[100, 83, 100, 53, 93, 92, 89, 28, 100, 88]","[89, 84, 100, 57, 100, 84, 94, 57, 71, 85]","[18, 35, 0, 27, 36, 50, 41, 43, 9, 16]","[85, 81, 0, 52, 88, 68, 66, 68, 49, 70]","[95, 90, 100, 85, 100, 62, 100, 82, 56, 84]","[50, 57, 100, 47, 48, 64, 36, 47, 52, 56]","[24, 15, 0, 1, 8, 2, 0, 7, 7, 7]"
赌徒之间,"[22, 0, 40, 16, 1, 36, 31, 15, 61, 2]","[61, 86, 88, 43, 97, 37, 87, 88, 71, 1]","[29, 89, 6, 9, 88, 25, 7, 15, 21, 4]","[80, 94, 97, 83, 82, 81, 71, 86, 86, 100]","[72, 78, 96, 59, 71, 55, 75, 60, 100, 62]","[52, 21, 56, 62, 4, 30, 66, 65, 26, 2]","[53, 7, 86, 94, 8, 24, 16, 60, 77, 4]","[1, 1, 44, 53, 2, 9, 7, 30, 24, 2]","[3, 0, 5, 6, 3, 11, 9, 10, 0, 5]","[40, 26, 0, 10, 8, 0, 7, 24, 2, 77]","[68, 21, 2, 2, 86, 0, 13, 30, 1, 7]","[65, 9, 22, 2, 2, 0, 4, 21, 2, 4]","[7, 1, 9, 3, 10, 0, 13, 17, 1, 40]","[13, 9, 0, 4, 6, 0, 6, 12, 3, 11]","[21, 20, 53, 2, 1, 53, 5, 33, 3, 9]","[89, 66, 26, 3, 88, 100, 25, 33, 94, 78]","[11, 10, 0, 3, 0, 0, 1, 14, 2, 2]","[26, 2, 1, 4, 22, 46, 21, 16, 2, 8]","[51, 22, 4, 7, 23, 0, 16, 6, 2, 5]","[91, 75, 20, 36, 50, 83, 82, 77, 88, 2]","[86, 33, 5, 0, 23, 6, 7, 5, 1, 6]","[60, 39, 3, 3, 0, 0, 9, 24, 1, 1]","[96, 70, 84, 100, 53, 100, 52, 74, 96, 8]","[69, 72, 35, 23, 23, 24, 23, 63, 2, 9]","[3, 15, 2, 0, 0, 0, 5, 0, 1, 4]","[98, 50, 6, 45, 24, 3, 46, 54, 1, 2]","[75, 57, 96, 25, 0, 88, 72, 60, 95, 51]","[84, 85, 0, 20, 78, 93, 46, 77, 3, 66]","[58, 52, 100, 76, 11, 1, 48, 12, 5, 33]","[98, 85, 100, 76, 94, 96, 100, 83, 11, 92]","[84, 65, 100, 94, 70, 97, 96, 68, 100, 69]","[60, 81, 51, 5, 49, 85, 48, 37, 4, 17]","[50, 84, 0, 11, 20, 3, 52, 41, 4, 29]","[4, 22, 0, 9, 9, 1, 0, 12, 3, 6]","[7, 23, 0, 0, 50, 3, 0, 4, 4, 7]"
生意合伙人之间,"[1, 52, 49, 92, 33, 25, 64, 57, 94, 100]","[92, 85, 95, 69, 96, 31, 89, 92, 97, 100]","[6, 96, 95, 79, 88, 20, 59, 31, 73, 56]","[100, 99, 75, 50, 93, 62, 82, 93, 55, 92]","[71, 93, 65, 39, 96, 77, 81, 80, 94, 100]","[2, 12, 13, 10, 81, 46, 52, 50, 6, 2]","[100, 92, 92, 72, 89, 47, 85, 69, 100, 100]","[51, 52, 65, 94, 3, 34, 72, 60, 92, 31]","[3, 0, 79, 77, 9, 21, 19, 66, 29, 3]","[55, 55, 100, 18, 73, 57, 73, 18, 11, 18]","[91, 19, 53, 11, 84, 6, 86, 78, 95, 16]","[80, 50, 100, 3, 77, 54, 17, 74, 78, 33]","[24, 48, 79, 8, 16, 40, 53, 31, 11, 38]","[75, 41, 85, 87, 78, 66, 70, 9, 2, 79]","[27, 21, 99, 54, 0, 6, 12, 17, 1, 57]","[84, 95, 97, 100, 81, 97, 85, 34, 99, 78]","[36, 8, 27, 6, 0, 0, 49, 20, 3, 51]","[36, 2, 1, 6, 13, 31, 19, 13, 2, 23]","[75, 41, 67, 13, 100, 73, 66, 72, 52, 100]","[64, 72, 71, 51, 100, 71, 81, 87, 84, 39]","[91, 29, 66, 0, 81, 67, 56, 60, 45, 20]","[65, 19, 53, 6, 0, 48, 68, 61, 48, 74]","[94, 86, 79, 94, 100, 89, 31, 78, 98, 100]","[91, 69, 92, 12, 84, 100, 80, 80, 1, 96]","[3, 24, 41, 0, 0, 0, 7, 0, 4, 4]","[86, 60, 82, 75, 100, 99, 79, 73, 57, 100]","[66, 63, 82, 90, 51, 90, 68, 2, 88, 1]","[81, 66, 100, 59, 70, 84, 81, 70, 12, 72]","[60, 83, 100, 24, 62, 10, 47, 15, 100, 80]","[81, 59, 80, 89, 100, 96, 100, 88, 5, 84]","[49, 68, 51, 22, 60, 13, 14, 43, 4, 29]","[85, 82, 100, 87, 76, 87, 100, 74, 100, 84]","[83, 87, 100, 77, 26, 97, 87, 100, 6, 68]","[50, 84, 100, 73, 49, 56, 63, 69, 100, 70]","[27, 22, 0, 27, 23, 1, 0, 8, 4, 8]"
私奔男女之间,"[75, 65, 97, 97, 99, 67, 88, 47, 99, 100]","[92, 6, 42, 11, 99, 76, 14, 61, 100, 100]","[6, 0, 5, 5, 2, 27, 6, 14, 0, 6]","[2, 48, 54, 5, 6, 13, 36, 17, 2, 2]","[7, 5, 19, 1, 1, 28, 10, 25, 2, 0]","[2, 18, 22, 39, 2, 37, 16, 55, 0, 3]","[100, 67, 92, 98, 95, 72, 87, 81, 100, 100]","[100, 46, 92, 100, 98, 80, 97, 54, 100, 100]","[75, 92, 80, 95, 99, 84, 75, 46, 95, 100]","[88, 81, 100, 94, 81, 100, 98, 55, 99, 97]","[5, 10, 2, 4, 4, 0, 7, 19, 1, 2]","[42, 9, 1, 11, 4, 24, 6, 11, 1, 7]","[5, 5, 53, 55, 52, 48, 65, 57, 99, 76]","[91, 27, 49, 100, 66, 84, 80, 91, 97, 81]","[95, 81, 100, 100, 77, 100, 99, 83, 99, 96]","[65, 15, 99, 83, 48, 0, 6, 62, 1, 17]","[93, 74, 100, 100, 65, 100, 96, 86, 99, 87]","[5, 6, 2, 6, 8, 3, 6, 15, 1, 3]","[96, 73, 97, 72, 100, 89, 72, 92, 99, 100]","[95, 78, 88, 49, 100, 92, 82, 88, 97, 5]","[91, 81, 98, 61, 100, 100, 83, 98, 98, 100]","[96, 68, 96, 83, 100, 100, 51, 98, 94, 100]","[89, 44, 29, 23, 51, 3, 22, 9, 2, 4]","[94, 66, 96, 76, 50, 87, 84, 78, 53, 100]","[2, 65, 96, 87, 100, 100, 92, 87, 98, 100]","[94, 78, 95, 66, 100, 100, 82, 88, 99, 3]","[49, 29, 0, 4, 0, 0, 3, 2, 1, 0]","[90, 92, 100, 98, 100, 99, 100, 89, 100, 88]","[7, 15, 0, 1, 0, 1, 0, 14, 0, 15]","[7, 57, 51, 18, 21, 2, 11, 12, 16, 15]","[13, 49, 52, 1, 36, 79, 2, 55, 6, 18]","[91, 81, 53, 95, 67, 97, 100, 63, 5, 81]","[5, 15, 0, 1, 0, 1, 0, 7, 5, 5]","[8, 10, 0, 2, 0, 2, 0, 9, 1, 35]","[49, 22, 0, 0, 0, 1, 0, 69, 3, 8]"
讼师(状师)-司法人员,"[49, 100, 42, 43, 47, 78, 58, 54, 49, 81]","[92, 24, 58, 19, 98, 19, 9, 26, 4, 7]","[100, 100, 95, 94, 98, 94, 79, 91, 100, 100]","[81, 96, 96, 88, 95, 85, 29, 85, 14, 68]","[26, 88, 79, 13, 96, 80, 55, 80, 82, 66]","[2, 4, 6, 55, 5, 60, 88, 21, 23, 35]","[100, 28, 86, 50, 81, 22, 49, 77, 76, 92]","[23, 4, 59, 47, 3, 17, 60, 44, 8, 18]","[2, 6, 55, 1, 2, 18, 12, 54, 5, 16]","[17, 66, 100, 25, 19, 29, 70, 17, 3, 82]","[90, 85, 99, 21, 97, 22, 49, 88, 90, 53]","[90, 46, 100, 30, 70, 59, 36, 82, 80, 87]","[13, 48, 51, 17, 9, 6, 17, 13, 2, 11]","[72, 74, 100, 17, 71, 31, 46, 66, 4, 33]","[13, 19, 2, 3, 1, 3, 1, 19, 3, 14]","[67, 100, 49, 5, 86, 88, 17, 71, 79, 64]","[13, 20, 0, 6, 0, 0, 18, 11, 2, 1]","[51, 44, 51, 50, 32, 49, 51, 73, 1, 82]","[66, 21, 26, 19, 100, 11, 35, 24, 10, 40]","[80, 27, 46, 72, 100, 91, 81, 92, 50, 7]","[77, 31, 18, 11, 0, 9, 28, 8, 1, 5]","[9, 14, 8, 13, 0, 0, 14, 3, 26, 29]","[82, 73, 66, 96, 100, 90, 87, 92, 84, 62]","[81, 72, 66, 24, 100, 68, 43, 34, 99, 35]","[3, 13, 1, 0, 0, 0, 4, 0, 1, 4]","[94, 47, 34, 50, 100, 64, 67, 34, 1, 30]","[84, 66, 97, 96, 100, 99, 42, 90, 68, 53]","[65, 69, 100, 12, 24, 85, 59, 88, 49, 86]","[100, 83, 100, 81, 100, 97, 88, 44, 100, 89]","[90, 75, 20, 17, 30, 19, 89, 29, 41, 68]","[49, 69, 0, 56, 57, 98, 35, 49, 100, 50]","[87, 71, 0, 45, 4, 91, 39, 73, 35, 78]","[88, 93, 100, 93, 100, 83, 100, 86, 100, 92]","[50, 88, 100, 34, 50, 60, 48, 45, 59, 45]","[24, 22, 0, 2, 5, 3, 0, 8, 5, 8]"
同乡之间,"[91, 53, 87, 70, 68, 60, 74, 86, 72, 90]","[83, 49, 84, 62, 65, 37, 56, 88, 100, 100]","[4, 1, 17, 11, 88, 77, 68, 12, 2, 5]","[2, 47, 50, 34, 58, 14, 32, 23, 23, 53]","[16, 30, 51, 36, 7, 28, 11, 43, 24, 81]","[3, 1, 7, 18, 6, 16, 44, 17, 1, 1]","[100, 85, 66, 64, 3, 23, 29, 74, 81, 8]","[24, 41, 39, 55, 5, 54, 63, 52, 52, 45]","[53, 84, 51, 39, 9, 43, 70, 57, 55, 13]","[3, 11, 0, 3, 54, 0, 15, 27, 66, 41]","[58, 59, 1, 4, 7, 2, 34, 45, 51, 9]","[88, 66, 100, 6, 42, 22, 45, 16, 19, 80]","[90, 57, 80, 100, 50, 96, 89, 47, 80, 95]","[59, 52, 51, 10, 56, 73, 58, 63, 35, 71]","[68, 73, 100, 48, 57, 85, 21, 53, 54, 76]","[64, 18, 99, 55, 52, 53, 42, 65, 43, 37]","[29, 52, 51, 13, 50, 73, 68, 48, 51, 73]","[52, 15, 2, 6, 50, 8, 49, 51, 9, 35]","[49, 47, 50, 60, 47, 60, 49, 76, 93, 4]","[51, 45, 19, 17, 51, 25, 49, 74, 65, 10]","[55, 67, 50, 51, 85, 69, 55, 58, 41, 5]","[57, 49, 48, 63, 26, 55, 48, 64, 56, 57]","[30, 50, 51, 48, 25, 37, 32, 38, 39, 14]","[52, 61, 77, 65, 100, 87, 51, 65, 14, 62]","[15, 16, 43, 0, 0, 0, 24, 33, 3, 5]","[80, 72, 67, 55, 49, 84, 78, 68, 7, 3]","[50, 33, 49, 21, 0, 0, 46, 29, 78, 3]","[50, 51, 50, 67, 48, 72, 56, 17, 31, 73]","[76, 83, 100, 87, 16, 93, 72, 75, 100, 80]","[50, 47, 24, 31, 49, 9, 3, 9, 4, 51]","[53, 51, 53, 23, 35, 30, 15, 9, 2, 30]","[8, 69, 51, 48, 75, 77, 100, 79, 48, 61]","[10, 20, 0, 28, 17, 8, 0, 9, 5, 36]","[61, 84, 100, 57, 50, 58, 58, 69, 27, 68]","[49, 24, 0, 4, 50, 2, 0, 22, 4, 8]"
远房表兄弟姐妹之间,"[50, 49, 89, 66, 64, 62, 68, 40, 85, 79]","[53, 42, 89, 70, 71, 48, 83, 91, 59, 100]","[6, 90, 12, 27, 73, 31, 48, 20, 36, 3]","[3, 58, 76, 16, 25, 11, 13, 22, 2, 11]","[21, 21, 57, 6, 3, 22, 12, 18, 3, 1]","[2, 0, 11, 19, 18, 21, 4, 26, 0, 2]","[51, 28, 73, 38, 72, 52, 50, 31, 46, 2]","[26, 11, 9, 63, 43, 26, 14, 18, 49, 34]","[51, 8, 89, 19, 15, 50, 75, 13, 48, 36]","[19, 39, 100, 45, 68, 41, 87, 69, 51, 79]","[57, 11, 2, 6, 48, 0, 21, 23, 26, 8]","[12, 48, 52, 3, 6, 1, 8, 18, 29, 20]","[67, 3, 78, 75, 66, 99, 78, 72, 84, 97]","[52, 47, 51, 42, 13, 73, 46, 45, 60, 65]","[60, 81, 51, 63, 52, 94, 75, 77, 64, 70]","[72, 63, 52, 4, 32, 19, 43, 42, 49, 44]","[54, 40, 50, 45, 9, 71, 64, 33, 41, 55]","[0, 0, 1, 12, 38, 0, 3, 12, 14, 7]","[5, 64, 70, 22, 21, 3, 27, 41, 32, 40]","[24, 37, 14, 27, 50, 26, 14, 24, 12, 10]","[16, 64, 70, 32, 50, 47, 55, 59, 44, 21]","[28, 52, 68, 54, 49, 37, 67, 58, 53, 28]","[12, 24, 28, 52, 22, 27, 16, 34, 36, 5]","[13, 36, 77, 49, 50, 55, 30, 46, 26, 64]","[70, 8, 12, 59, 50, 2, 15, 38, 26, 4]","[31, 76, 55, 38, 24, 71, 57, 54, 23, 4]","[51, 37, 47, 52, 0, 0, 7, 2, 13, 3]","[13, 14, 0, 52, 32, 34, 48, 17, 11, 27]","[67, 84, 24, 50, 80, 93, 53, 51, 100, 71]","[22, 59, 20, 12, 40, 20, 3, 7, 5, 27]","[13, 27, 52, 8, 32, 32, 0, 8, 2, 43]","[5, 83, 24, 53, 67, 9, 95, 67, 77, 40]","[7, 18, 0, 5, 0, 2, 0, 13, 6, 7]","[52, 65, 81, 52, 49, 83, 49, 68, 31, 54]","[65, 20, 53, 8, 51, 2, 4, 45, 4, 7]"
家庭私塾教师-学生,"[72, 88, 53, 91, 88, 44, 66, 91, 75, 72]","[3, 9, 52, 28, 22, 17, 19, 57, 0, 4]","[100, 99, 71, 76, 78, 50, 70, 85, 81, 41]","[52, 48, 52, 14, 23, 70, 35, 11, 2, 27]","[12, 4, 54, 13, 56, 78, 22, 18, 12, 52]","[2, 11, 11, 24, 90, 58, 70, 42, 17, 4]","[75, 50, 88, 66, 81, 53, 62, 85, 81, 62]","[100, 83, 92, 40, 5, 57, 66, 92, 98, 34]","[31, 11, 25, 32, 11, 31, 22, 20, 50, 46]","[12, 80, 100, 10, 19, 53, 90, 23, 8, 89]","[83, 80, 2, 27, 76, 81, 63, 84, 68, 91]","[76, 83, 100, 67, 60, 48, 12, 87, 70, 32]","[18, 7, 99, 17, 70, 55, 63, 20, 28, 26]","[63, 90, 50, 34, 72, 84, 76, 51, 44, 81]","[35, 16, 2, 50, 5, 0, 24, 22, 33, 14]","[67, 18, 99, 39, 54, 2, 79, 22, 59, 84]","[68, 28, 50, 18, 72, 17, 56, 40, 6, 42]","[40, 89, 99, 66, 90, 89, 88, 75, 96, 60]","[65, 20, 76, 61, 100, 28, 62, 35, 80, 100]","[62, 29, 59, 60, 100, 100, 78, 90, 2, 17]","[64, 33, 59, 62, 100, 83, 74, 47, 40, 5]","[48, 46, 22, 77, 22, 72, 82, 41, 3, 37]","[55, 64, 35, 60, 53, 33, 76, 72, 72, 8]","[73, 68, 86, 82, 100, 100, 73, 88, 96, 64]","[9, 23, 9, 0, 0, 0, 14, 0, 1, 5]","[51, 72, 72, 80, 100, 88, 79, 67, 50, 3]","[87, 34, 57, 81, 51, 40, 66, 10, 89, 4]","[89, 85, 100, 77, 86, 80, 89, 92, 95, 91]","[100, 83, 100, 62, 98, 90, 92, 54, 100, 24]","[52, 70, 50, 61, 72, 35, 57, 58, 5, 25]","[58, 29, 21, 20, 11, 33, 39, 2, 11, 10]","[53, 83, 100, 43, 15, 89, 15, 46, 53, 61]","[67, 93, 100, 81, 100, 98, 100, 72, 5, 59]","[67, 84, 100, 72, 87, 67, 86, 87, 100, 71]","[19, 22, 0, 1, 50, 1, 0, 5, 4, 7]"
远亲之间,"[51, 52, 76, 70, 93, 58, 50, 21, 83, 81]","[53, 41, 56, 59, 60, 53, 55, 86, 15, 6]","[5, 84, 13, 41, 41, 20, 62, 23, 29, 5]","[2, 85, 82, 27, 79, 15, 13, 21, 4, 36]","[17, 10, 60, 13, 4, 26, 9, 13, 3, 7]","[15, 0, 7, 8, 37, 40, 8, 18, 0, 1]","[77, 8, 69, 55, 63, 38, 49, 22, 60, 3]","[26, 16, 8, 40, 33, 11, 12, 20, 42, 49]","[50, 21, 74, 36, 4, 23, 62, 31, 50, 34]","[5, 54, 100, 8, 29, 49, 82, 36, 45, 71]","[54, 9, 2, 5, 52, 1, 8, 36, 35, 9]","[8, 38, 50, 20, 27, 1, 6, 11, 30, 11]","[67, 20, 76, 72, 51, 76, 69, 81, 70, 95]","[53, 32, 50, 5, 49, 53, 58, 36, 72, 59]","[61, 86, 51, 57, 2, 94, 59, 78, 48, 75]","[63, 15, 52, 22, 56, 30, 26, 44, 33, 61]","[56, 51, 25, 26, 18, 67, 55, 56, 29, 33]","[50, 42, 1, 22, 17, 50, 69, 47, 9, 55]","[14, 57, 74, 11, 51, 8, 31, 34, 61, 5]","[24, 30, 11, 13, 50, 14, 17, 11, 5, 5]","[15, 65, 56, 19, 52, 37, 34, 18, 52, 7]","[19, 33, 70, 41, 21, 35, 33, 43, 31, 33]","[26, 25, 33, 52, 25, 34, 27, 64, 44, 5]","[14, 65, 82, 14, 50, 54, 15, 34, 33, 52]","[67, 18, 9, 0, 0, 2, 11, 32, 18, 3]","[31, 25, 74, 22, 51, 56, 70, 52, 16, 3]","[51, 29, 53, 33, 0, 0, 27, 2, 15, 8]","[12, 13, 0, 54, 11, 10, 39, 24, 5, 11]","[69, 86, 24, 38, 77, 80, 52, 54, 100, 81]","[57, 50, 23, 14, 48, 29, 0, 9, 5, 47]","[19, 26, 52, 8, 14, 41, 2, 6, 12, 35]","[14, 80, 24, 56, 49, 20, 92, 71, 31, 38]","[2, 20, 0, 6, 15, 4, 0, 1, 4, 11]","[50, 81, 81, 57, 52, 50, 48, 45, 20, 56]","[56, 28, 0, 1, 50, 2, 0, 44, 4, 8]"
师傅-学徒,"[93, 81, 65, 98, 72, 32, 75, 87, 78, 71]","[3, 0, 37, 6, 12, 35, 12, 18, 0, 5]","[100, 81, 61, 21, 71, 74, 76, 92, 89, 49]","[52, 48, 67, 41, 92, 75, 81, 95, 9, 32]","[26, 8, 34, 4, 10, 72, 18, 81, 18, 55]","[84, 3, 19, 14, 97, 53, 84, 55, 54, 4]","[77, 84, 66, 90, 75, 29, 83, 85, 92, 62]","[100, 84, 74, 90, 13, 59, 78, 90, 100, 41]","[31, 53, 59, 56, 4, 31, 21, 12, 18, 19]","[26, 78, 100, 8, 87, 79, 94, 20, 65, 84]","[45, 54, 2, 5, 75, 76, 48, 77, 70, 88]","[89, 74, 100, 3, 80, 25, 2, 87, 53, 81]","[28, 37, 100, 27, 94, 92, 90, 40, 82, 82]","[62, 58, 100, 34, 81, 92, 95, 71, 71, 73]","[10, 58, 0, 49, 0, 0, 93, 15, 73, 66]","[54, 18, 81, 80, 27, 0, 10, 59, 69, 66]","[57, 9, 50, 45, 0, 51, 68, 19, 59, 56]","[61, 52, 98, 47, 88, 87, 93, 85, 96, 90]","[51, 65, 91, 82, 100, 39, 80, 89, 4, 100]","[49, 40, 81, 80, 52, 100, 81, 67, 14, 7]","[49, 30, 94, 52, 100, 100, 86, 79, 32, 7]","[48, 23, 55, 69, 21, 61, 71, 76, 75, 53]","[50, 69, 5, 89, 54, 33, 32, 58, 44, 10]","[69, 40, 88, 69, 100, 100, 81, 81, 88, 65]","[13, 15, 8, 0, 0, 0, 33, 0, 1, 5]","[55, 73, 96, 70, 50, 100, 77, 75, 77, 2]","[80, 37, 87, 55, 52, 76, 77, 78, 89, 47]","[90, 79, 100, 89, 84, 85, 90, 77, 90, 76]","[96, 81, 100, 32, 84, 84, 69, 45, 100, 75]","[50, 81, 20, 32, 41, 46, 55, 53, 36, 63]","[44, 50, 21, 6, 17, 14, 24, 10, 3, 25]","[50, 70, 100, 91, 13, 65, 6, 11, 56, 73]","[85, 92, 100, 87, 100, 97, 87, 98, 7, 82]","[58, 80, 100, 91, 91, 62, 86, 60, 61, 72]","[23, 26, 0, 4, 50, 1, 0, 6, 4, 7]"
地主-佃农,"[1, 76, 4, 23, 19, 28, 32, 21, 52, 4]","[3, 0, 7, 2, 6, 68, 6, 13, 0, 7]","[100, 95, 72, 63, 97, 85, 76, 88, 100, 100]","[100, 100, 71, 89, 85, 77, 80, 95, 90, 96]","[81, 100, 83, 95, 77, 77, 81, 89, 100, 100]","[100, 53, 57, 69, 64, 64, 90, 84, 94, 46]","[2, 11, 50, 52, 47, 35, 13, 80, 63, 63]","[51, 0, 20, 79, 4, 55, 87, 76, 28, 7]","[1, 0, 10, 1, 1, 28, 6, 22, 2, 5]","[23, 29, 0, 12, 11, 12, 13, 18, 2, 87]","[89, 87, 100, 50, 100, 94, 83, 80, 56, 95]","[79, 72, 100, 3, 81, 98, 90, 79, 98, 86]","[12, 81, 98, 19, 21, 66, 57, 67, 53, 62]","[24, 53, 50, 13, 70, 36, 48, 9, 49, 64]","[15, 16, 1, 5, 0, 0, 1, 15, 12, 7]","[72, 16, 2, 23, 66, 95, 14, 22, 34, 82]","[7, 10, 0, 5, 3, 0, 33, 12, 3, 4]","[52, 54, 100, 68, 87, 68, 71, 55, 51, 90]","[48, 37, 40, 8, 51, 24, 79, 74, 92, 89]","[42, 19, 9, 59, 50, 31, 52, 15, 1, 5]","[53, 31, 59, 0, 51, 6, 27, 17, 1, 7]","[2, 22, 4, 11, 0, 1, 20, 42, 4, 6]","[74, 67, 94, 89, 100, 92, 77, 66, 93, 7]","[29, 71, 55, 6, 23, 15, 19, 69, 1, 7]","[1, 22, 3, 0, 0, 0, 4, 0, 1, 5]","[70, 23, 23, 75, 52, 25, 14, 26, 50, 3]","[84, 62, 60, 77, 0, 89, 74, 18, 63, 50]","[83, 70, 100, 49, 72, 88, 66, 85, 37, 94]","[100, 84, 100, 61, 84, 95, 92, 41, 100, 68]","[83, 80, 100, 65, 92, 89, 96, 90, 5, 80]","[68, 86, 100, 70, 75, 66, 94, 68, 87, 68]","[88, 22, 100, 32, 9, 86, 6, 47, 53, 70]","[99, 87, 100, 72, 73, 77, 86, 70, 5, 80]","[16, 72, 81, 46, 9, 53, 61, 44, 36, 54]","[38, 23, 0, 1, 7, 1, 0, 7, 3, 7]"
